,Αριθμός Ταυτότητας,Ημερομηνία Έκδοσης,Όνομα,Given Name,Επώνυμο,Surname,Πατρώνυμο,Mητέρας Όνομα,Επίθετο Μητέρας,Ημερομηνία Γέννησης,Καταγωγή,Ύψος,Δημότης,Αρχή Έκδοσης Δελτίου
434,Z8025630,20/04/2011,Πίνδαρος,Pindaros,Μαραγκός,Maragkos,Δημοκράτης,Μελένια,Γκόνη,17/05/1943,Κοζάνη Ηγουμενίτσα,-,Καβάλα 20335/2,Υ.Α. Ηγουμενίτσα Κοζάνη
435,PE0981044,07/09/2016,Ξανθίππη,Ksanthippe,Χιωτίδου,Khiotidou,Φρίξος,Ρουμπίνη,Χαμαλίδου,29/01/2010,Θεσπρωτία Μεσολόγγι,-,Καλαμάτα 32068/5,Υ.Α. Μεσολόγγι Θεσπρωτία
436,E7905840,15/01/2014,Βησσαρία,Bessaria,Ασσαργιωτάκη,Assargiotake,Χριστόφορος,Πούλια,Δημητριάδου,05/10/1947,Βοιωτία Αργοστόλι,-,Τρίπολη 70641/5,Υ.Α. Αργοστόλι Βοιωτία
437,Z0120387,14/12/2006,Θεώνη,Theone,Γιατράκου,Giatrakou,Βαλεντίνος,Ξένη,Κοντογεωργάκη,13/05/1971,Μαγνησία Μεσολόγγι,-,Λαμία 65316/9,Υ.Α. Μεσολόγγι Μαγνησία
438,Z0304970,03/08/2007,Φωτεινή,Photeine,Ντριβαλά,Ntribala,Αμβρόσιος,Αιμιλία,Μπιμπίκα,24/04/1959,Φλώρινα Καβάλα,-,Λευκάδα 87550/3,Υ.Α. Καβάλα Φλώρινα
439,BY1540567,07/07/2008,Σάρρα,Sarra,Καραθανάση,Karathanase,Κλήμης,Ελέσσα,Κατσαντώνη,01/07/1978,Χίος Καλαμάτα,-,Κόρινθος 95011/1,Υ.Α. Καλαμάτα Χίος
440,OT5921146,04/08/2018,Απόλλων,Apollon,Κοτσαρής,Kotsares,Κλεόβουλος,Λαζαρία,Καλομοίρη,15/08/1919,Χαλκιδική Κιλκίς,-,Καρπενήσι 15858/4,Υ.Α. Κιλκίς Χαλκιδική
441,E9434011,24/04/2020,Σεραφεία,Serapheia,Πετροσιάν,Petrosian,Λάμπρος,Μελέτια,Καλέμη,04/03/1931,Σέρρες Ρόδος,-,Πολύγυρος 38954/4,Υ.Α. Ρόδος Σέρρες
442,M7588019,24/11/2012,Νικολέτα,Nikoleta,Μπλιατσίου,Mpliatsiou,Γαρύφαλλος,Δανάη,Παυλίδου,12/06/1993,Βοιωτία Βόλος,-,Ηγουμενίτσα 00559/1,Υ.Α. Βόλος Βοιωτία
443,OE2614776,29/06/2010,Θεόδουλος,Theodoulos,Δρουλιάς,Droulias,Ζήνων,Σουμέλα,Γκούνη,27/10/1967,Φθιώτιδα Αθήνα,-,Φλώρινα 22092/5,Υ.Α. Αθήνα Φθιώτιδα
444,Z4791007,01/12/2014,Κυπαρισσία,Kuparissia,Παυλάκη,Paulake,Ταξιάρχης,Ροδαμάνθη,Παπουτσοπούλου,16/09/1925,Πέλλα Αγ. Νικόλαος,-,Πάτρα 56544/2,Υ.Α. Αγ. Νικόλαος Πέλλα
445,OH9572321,27/12/2017,Μακρίνα,Makrina,Αποστολίδου,Apostolidou,Αρχιμήδης,Αθηνοδώρα,Χρονοπούλου,14/12/1946,Ηλεία Καρδίτσα,-,Σέρρες 86769/7,Υ.Α. Καρδίτσα Ηλεία
446,P4706692,06/03/2016,Νικήτας,Niketas,Μιχαηλίδης,Mikhaelides,Πρόδρομος,Μελίνα,Κορομπόκη,03/11/1980,Χανιά Θεσσαλονίκη,-,Καστοριά 28331/6,Υ.Α. Θεσσαλονίκη Χανιά
447,KI3566160,28/06/2010,Αφροδίτη,Aphrodite,Τσάκη,Tsake,Πολυζώης,Βαλάντω,Κυριακούλη,01/02/1996,Ευρυτανία Λιβαδιά,-,Άρτα 43309/3,Υ.Α. Λιβαδιά Ευρυτανία
448,Z7711594,08/03/2019,Ροδάνθη,Rodanthe,Σδούκου,Sdoukou,Αθανάσιος,Λεμονιά,Παπακώστα,12/02/1977,Καβάλα Άρτα,-,Πύργος 63917/3,Υ.Α. Άρτα Καβάλα
449,E0580039,26/11/2014,Κυπαρισσία,Kuparissia,Κεσίση,Kesise,Μαυρίκιος,Αρετή,Πέτρου,24/08/1959,Λέσβος Αγ. Νικόλαος,-,Γρεβενά 04354/5,Υ.Α. Αγ. Νικόλαος Λέσβος
450,PN8760035,27/06/2014,Ιωακείμ,Ioakeim,Καζανόπουλος,Kazanopoulos,Ίων,Παναγιώτα,Γκόνη,28/03/1994,Πρέβεζα Κομοτηνή,-,Κέρκυρα 45256/2,Υ.Α. Κομοτηνή Πρέβεζα
451,TN0469449,22/11/2008,Κλεάνθης,Kleanthes,Δούνης,Dounes,Ιωάννης,Μαγδαληνή,Φυτιλή,18/02/2004,Φθιώτιδα Αργοστόλι,-,Τρίπολη 10357/3,Υ.Α. Αργοστόλι Φθιώτιδα
452,N6428741,09/02/2020,Τερψιχόρη,Terpsikhore,Πολατίδου,Polatidou,Ξενοφών,Χρυσούλα,Καράμπη,31/10/1966,Ημαθία Μυτιλήνη,-,Καβάλα 78521/8,Υ.Α. Μυτιλήνη Ημαθία
453,B9446383,02/10/2015,Μηνάς,Menas,Μπουλούκος,Mpouloukos,Προκόπιος,Ιουλία,Γιατράκου,28/08/1942,Λακωνία Πάτρα,-,Κέρκυρα 28515/8,Υ.Α. Πάτρα Λακωνία
454,EB8536462,03/11/2008,Δανάη,Danae,Ζαβιτσάνου,Zabitsanou,Γκίκας,Πέτρα,Αργυροπούλου,12/01/1918,Σάμος Καρπενήσι,-,Άρτα 95044/8,Υ.Α. Καρπενήσι Σάμος
455,I1279252,29/07/2006,Χαρίκλεια,Kharikleia,Σιούτα,Siouta,Θεοδόσης,Φλώρα,Καλαθά,23/04/1978,Αιτωλία & Ακαρνανία Δράμα,-,Αγ. Νικόλαος 12604/4,Υ.Α. Δράμα Αιτωλία & Ακαρνανία
456,ZN8546374,25/05/2017,Γαληνός,Galenos,Γκότσης,Gkotses,Νίκων,Ματρώνη,Πετροσιάν,09/02/1995,Πιερία Ρέθυμνο,-,Λευκάδα 79740/7,Υ.Α. Ρέθυμνο Πιερία
457,B0346430,06/08/2020,Θεώνη,Theone,Παλιούρα,Palioura,Μιχαήλ,Αφροδίτη,Ιωσηφίδου,09/06/1938,Ρέθυμνο Πρέβεζα,-,Λαμία 66706/8,Υ.Α. Πρέβεζα Ρέθυμνο
458,Z0810316,23/09/2016,Φωτεινός,Photeinos,Αλαφάκης,Alaphakes,Αριστομένης,Ερμιόνη,Καρακωνσταντινού,27/08/2004,Καστοριά Βόλος,-,Κομοτηνή 89275/9,Υ.Α. Βόλος Καστοριά
459,TA3707191,28/03/2021,Θεοφύλακτος,Theophulaktos,Παπαγεωργίου,Papageorgiou,Θουκυδίδης,Λαμπρινή,Σολωμίδου,01/02/1960,Κορινθία Θεσσαλονίκη,-,Ρόδος 09565/5,Υ.Α. Θεσσαλονίκη Κορινθία
460,AM7323596,04/03/2014,Παυσανίας,Pausanias,Χονδρολίδης,Khondrolides,Πολύκαρπος,Ηλέκτρα,Τσιούπρα,30/09/1946,Κέρκυρα Καστοριά,-,Χανιά 25054/3,Υ.Α. Καστοριά Κέρκυρα
461,MI9535336,27/03/2009,Καλλιόπη,Kalliope,Κατσαφάδου,Katsaphadou,Ακριβός,Μυρσίνη,Χριστοπούλου,10/02/1924,Πιερία Αθήνα,-,Πύργος 69871/9,Υ.Α. Αθήνα Πιερία
462,EY6279874,30/05/2020,Ερωφίλη,Erophile,Σκούμπρου,Skoumprou,Μαρίνος,Ασημίνα,Τσικνή,09/02/1933,Χίος Καστοριά,-,Κέρκυρα 10416/7,Υ.Α. Καστοριά Χίος
463,A0391706,06/09/2015,Αίας,Aias,Μαυρουδής,Mauroudes,Βλάσης,Συμέλα,Τουλάκη,16/01/1949,Κέρκυρα Πολύγυρος,-,Κοζάνη 40319/2,Υ.Α. Πολύγυρος Κέρκυρα
464,I3360793,23/01/2021,Αγγελής,Aggeles,Σαμανίδης,Samanides,Λαοκράτης,Γαβριέλλα,Μαυρίδου,10/09/1937,Καβάλα Πάτρα,-,Χανιά 10391/3,Υ.Α. Πάτρα Καβάλα
465,K4457706,14/02/2017,Αύγουστος,Augoustos,Ψάλτης,Psaltes,Τζανέτος,Ανδρομέδα,Δήμου,27/03/1948,Βοιωτία Καρπενήσι,-,Έδεσσα 01320/4,Υ.Α. Καρπενήσι Βοιωτία
466,BH0726857,15/04/2007,Βενέτιος,Benetios,Μαραγκός,Maragkos,Αναξαγόρας,Άννα,Μπελέκου,30/06/1916,Φλώρινα Πύργος,-,Πολύγυρος 65078/8,Υ.Α. Πύργος Φλώρινα
467,M7192081,30/05/2010,Παντελία,Pantelia,Εμμανουήλ,Emmanouel,Διαμαντής,Ξανθή,Μπρούζου,28/07/1952,Ζάκυνθος Τρίκαλα,-,Σπάρτη 14728/9,Υ.Α. Τρίκαλα Ζάκυνθος
468,TK4198908,15/07/2017,Τσαμπίκος,Tsampikos,Μακρής,Makres,Άγγελος,Περιστέρα,Ματεντσίδου,25/04/1921,Λάρισσα Ηράκλειο,-,Λιβαδιά 35643/6,Υ.Α. Ηράκλειο Λάρισσα
469,P8472037,15/01/2011,Δημούλα,Demoula,Παπαδήμα,Papadema,Διαμαντής,Στεργιανή,Κουλοχέρη,17/07/2010,Πέλλα Έδεσσα,-,Πύργος 65285/8,Υ.Α. Έδεσσα Πέλλα
470,KY3922338,11/05/2019,Αργυρώ,Arguro,Κατσιμάνη,Katsimane,Μαυρούδης,Ήβη,Ευαγγελάκη,18/01/1971,Ιωάννινα Ξάνθη,-,Θεσσαλονίκη 92342/8,Υ.Α. Ξάνθη Ιωάννινα
471,OB1153428,07/11/2010,Ελπίς,Elpis,Θωμάκου,Thomakou,Αγαμέμνων,Φιλοθέη,Παπαστεργίου,01/10/1995,Λευκάδα Ζάκυνθος,-,Αλεξανδρούπολη 61477/1,Υ.Α. Ζάκυνθος Λευκάδα
472,HH2334283,28/07/2009,Αλκιβιάδης,Alkibiades,Μπίλλας,Mpillas,Αντώνιος,Σάρρα,Σπανοχριστοδούλου,15/10/1922,Σάμος Σέρρες,-,Ζάκυνθος 28572/2,Υ.Α. Σέρρες Σάμος
473,A8593846,07/01/2008,Κοραλία,Koralia,Ρούσσου,Roussou,Ιερεμίας,Παρασκευή,Γιακαμόζη,30/07/1926,Ξάνθη Ρόδος,-,Γρεβενά 03616/6,Υ.Α. Ρόδος Ξάνθη
474,T4674856,03/07/2010,Ησαΐας,EsaIas,Μητσόπουλος,Metsopoulos,Τίτος,Διαμάντω,Αδαμοπούλου,14/03/1912,Ζάκυνθος Ξάνθη,-,Μυτιλήνη 56338/9,Υ.Α. Ξάνθη Ζάκυνθος
475,N4805998,01/01/2021,Τσαμπίκος,Tsampikos,Σταυρόπουλος,Stauropoulos,Αναξαγόρας,Οδύσσεια,Μαστραγγελή,08/03/1981,Γρεβενά Άμφισσα,-,Λαμία 23965/2,Υ.Α. Άμφισσα Γρεβενά
476,X3243527,03/03/2010,Ναπολέων,Napoleon,Λιανάκης,Lianakes,Αδάμ,Αηδόνα,Μπαλτατζή,02/11/1997,Κιλκίς Ρέθυμνο,-,Τρίκαλα 93646/6,Υ.Α. Ρέθυμνο Κιλκίς
477,KK5847206,07/05/2012,Φωτεινή,Photeine,Μπιμπίρη,Mpimpire,Λαοκράτης,Αμβροσία,Ναούμ,01/04/1941,Ηράκλειο Λάρισα,-,Σέρρες 94020/7,Υ.Α. Λάρισα Ηράκλειο
478,I7719504,16/06/2008,Σόλων,Solon,Αθανασόπουλος,Athanasopoulos,Τίτος,Ιακωβίνα,Γεωργαρά,02/02/1977,Δράμα Πύργος,-,Βέροια 30032/6,Υ.Α. Πύργος Δράμα
479,XK6046315,20/08/2007,Αριστοφάνης,Aristophanes,Γρηγορόπουλος,Gregoropoulos,Πραξιτέλης,Καλλιόπη,Καρκανάκη,14/10/1936,Τρίκαλα Χανιά,-,Χαλκίδα 55996/4,Υ.Α. Χανιά Τρίκαλα
480,I7322001,19/02/2016,Ευθύμιος,Euthumios,Γιαννακουδάκης,Giannakoudakes,Φλοριάντ,Εριφύλη,Κιορίδου,17/09/1927,Βοιωτία Χανιά,-,Πρέβεζα 70091/2,Υ.Α. Χανιά Βοιωτία
481,X1371155,17/06/2009,Διαμαντής,Diamantes,Κλήμης,Klemes,Βασίλης,Κορνηλία,Χολέβα,27/08/1930,Φλώρινα Τρίκαλα,-,Γρεβενά 44526/6,Υ.Α. Τρίκαλα Φλώρινα
482,OX2770396,24/03/2007,Ιουλία,Ioulia,Μπελέκου,Mpelekou,Ζήνων,Γερασιμούλα,Μπύρου,23/12/1994,Πρέβεζα Κατερίνη,-,Ξάνθη 54420/3,Υ.Α. Κατερίνη Πρέβεζα
483,O2076241,22/01/2019,Μυρτώ,Murto,Παυλίδου,Paulidou,Αρχέλαος,Γενοβέφα,Χρυσάφη,14/07/1938,Φλώρινα Έδεσσα,-,Κόρινθος 18960/9,Υ.Α. Έδεσσα Φλώρινα
484,YX4894057,08/07/2017,Ρεβέκα,Rebeka,Στρούμπα,Stroumpa,Δαμασκηνός,Φιλίππα,Μαστραγγελή,27/02/2000,Θεσσαλονίκη Τρίκαλα,-,Άμφισσα 47274/8,Υ.Α. Τρίκαλα Θεσσαλονίκη
485,AM0192036,26/02/2007,Μαρωτέσα,Marotesa,Σπυριδάκη,Spuridake,Ζήνων,Μαργιέττα,Χριστογιάννη,02/12/1964,Μαγνησία Κιλκίς,-,Σέρρες 49204/2,Υ.Α. Κιλκίς Μαγνησία
486,PM3445175,16/12/2019,Ροδιά,Rodia,Βαϊραμίδου,Bairamidou,Πυθαγόρας,Δωροθέα,Μηλιάδου,06/12/1938,Κεφαλληνία Σπάρτη,-,Καβάλα 28166/5,Υ.Α. Σπάρτη Κεφαλληνία
487,B8119734,26/11/2019,Βερονίκη,Beronike,Τάσση,Tasse,Σωκράτης,Ιορδανία,Αβραμίδου,18/12/1944,Καρδίτσα Κέρκυρα,-,Κοζάνη 75322/5,Υ.Α. Κέρκυρα Καρδίτσα
488,O7303301,06/09/2007,Ροδάνθη,Rodanthe,Παπακωνσταντίνου,Papakonstantinou,Ευδόξιος,Κλεονίκη,Κανελή,19/12/1969,Δωδεκάνησσος Καλαμάτα,-,Πάτρα 81737/2,Υ.Α. Καλαμάτα Δωδεκάνησσος
489,Z5909036,22/07/2012,Πωλίνα,Polina,Ζαρειφοπούλου,Zareiphopoulou,Νικόδημος,Πολύβια,Τσούρα,03/01/1969,Ξάνθη Λιβαδιά,-,Χανιά 93892/1,Υ.Α. Λιβαδιά Ξάνθη
490,A2567138,07/05/2019,Κυπριανός,Kuprianos,Σταθάτος,Stathatos,Μακάριος,Νικητία,Πέττα,20/05/1929,Φθιώτιδα Χανιά,-,Κομοτηνή 34874/2,Υ.Α. Χανιά Φθιώτιδα
491,HZ8841817,01/06/2019,Ροδαμάνθη,Rodamanthe,Γκιριτζιώνη,Gkiritzione,Κλεόπας,Ναταλία,Χοντζιά,26/06/1916,Θεσσαλονίκη Κατερίνη,-,Καβάλα 82473/1,Υ.Α. Κατερίνη Θεσσαλονίκη
492,XK0086982,29/07/2016,Δάφνη,Daphne,Μπύρου,Mpurou,Αριστοτέλης,Ευγενία,Μαρουγιάννη,21/12/1934,Πέλλα Κόρινθος,-,Κέρκυρα 50107/5,Υ.Α. Κόρινθος Πέλλα
493,A3315217,16/09/2018,Αγλαΐα,AglaIa,Ξηροτύρη,Kseroture,Αντίγονος,Δροσιά,Πετσιά,21/06/1958,Χαλκιδική Πρέβεζα,-,Βόλος 43981/1,Υ.Α. Πρέβεζα Χαλκιδική
494,E3620758,14/02/2016,Αηδόνα,Aedona,Πανκίδου,Pankidou,Ησαΐας,Λεμονιά,Κοντού,07/08/1998,Κιλκίς Άρτα,-,Βέροια 91560/8,Υ.Α. Άρτα Κιλκίς
495,Z5383391,31/03/2007,Πολυξένη,Poluxene,Καράμπη,Karampe,Σεβαστιανός,Ουρανία,Ζωντανού,05/01/1925,Αχαΐα Ιωάννινα,-,Χανιά 51158/9,Υ.Α. Ιωάννινα Αχαΐα
496,EB9211771,01/07/2009,Ιορδάνης,Iordanes,Βακαλής,Bakales,Φωτεινός,Κυπαρισσία,Ξηροτύρη,25/07/1995,Χίος Αγ. Νικόλαος,-,Αργοστόλι 78371/9,Υ.Α. Αγ. Νικόλαος Χίος
497,TX9800455,04/07/2017,Γερασιμούλα,Gerasimoula,Ξυγκάκου,Ksugkakou,Τίμων,Ιορδανία,Ζαχαρίου,18/01/1959,Θεσσαλονίκη Πολύγυρος,-,Ηγουμενίτσα 05119/3,Υ.Α. Πολύγυρος Θεσσαλονίκη
498,PP8971886,06/05/2019,Ερωφίλη,Erophile,Καλογιάννη,Kalogianne,Αγαθάγγελος,Σωφρονία,Σιμιτζή,04/04/1913,Πρέβεζα Καβάλα,-,Λάρισα 95861/9,Υ.Α. Καβάλα Πρέβεζα
499,KX5059838,26/11/2014,Αστέρω,Astero,Δημητρίου,Demetriou,Λαυρέντιος,Θεανώ,Γκούβα,11/06/2006,Αχαΐα Καρπενήσι,-,Ζάκυνθος 69026/9,Υ.Α. Καρπενήσι Αχαΐα
500,NM5907973,23/11/2006,Χαρίτος,Kharitos,Στραβοσνίχης,Strabosnikhes,Σιρανούς,Ρωξάνη,Βακουφτσή,04/02/1988,Λάρισσα Τρίκαλα,-,Καρδίτσα 02009/2,Υ.Α. Τρίκαλα Λάρισσα
501,KO1117719,21/09/2008,Φιλήμων,Philemon,Σουλιντζής,Soulintzes,Αθηνόδωρος,Απολλωνία,Χαραλαμπίδου,04/01/1930,Κέρκυρα Ηράκλειο,-,Αλεξανδρούπολη 42239/2,Υ.Α. Ηράκλειο Κέρκυρα
502,AA2097199,20/08/2013,Ιερόθεος,Ierotheos,Κωνσταντακόπουλος,Konstantakopoulos,Αριστομένης,Ρόζα,Καλογιαννάκη,19/08/1958,Δράμα Μυτιλήνη,-,Θεσσαλονίκη 46735/6,Υ.Α. Μυτιλήνη Δράμα
503,OM0500737,21/11/2006,Μιράντα,Miranta,Μποζίκη,Mpozike,Θεοδόσης,Έλλη,Γεωργαρά,14/07/1986,Ροδόπη Έδεσσα,-,Ιωάννινα 79400/9,Υ.Α. Έδεσσα Ροδόπη
504,X8777483,05/03/2016,Αλέξιος,Alexios,Καλαϊτζάκης,Kalaitzakes,Φρειδερίκος,Νερατζιά,Πανοπούλου,21/08/1917,Πέλλα Γρεβενά,-,Καρπενήσι 00726/9,Υ.Α. Γρεβενά Πέλλα
505,EX8370042,29/01/2017,Ανατολή,Anatole,Μπιμπίρη,Mpimpire,Θαλής,Δήμητρα,Κουρλού,28/07/1968,Χίος Ερμούπολη,-,Λευκάδα 43644/4,Υ.Α. Ερμούπολη Χίος
506,KO5116549,26/08/2010,Γαρυφαλλιά,Garuphallia,Γεωργακοπούλου,Georgakopoulou,Ιερόθεος,Φρειδερίκη,Βερβερίδου,23/12/1964,Χαλκιδική Κόρινθος,-,Ηγουμενίτσα 41456/2,Υ.Α. Κόρινθος Χαλκιδική
507,NX7573580,13/12/2015,Γερακίνα,Gerakina,Νικολοπούλου,Nikolopoulou,Βασίλειος,Χρυσοβαλάντου,Μπακουλή,06/09/1916,Ιωάννινα Λιβαδιά,-,Ρέθυμνο 03751/6,Υ.Α. Λιβαδιά Ιωάννινα
508,OK3753397,11/05/2019,Πηγή,Pege,Καρακώστα,Karakosta,Απόλλων,Διονυσία,Ζεγλίνα,10/08/1991,Καστοριά Σάμος,-,Λαμία 07973/2,Υ.Α. Σάμος Καστοριά
509,X7577722,02/03/2016,Ιγνάτιος,Ignatios,Νάστος,Nastos,Θρασύβουλος,Τιμοθέα,Δήμου,11/09/1915,Φωκίδα Ξάνθη,-,Φλώρινα 49673/2,Υ.Α. Ξάνθη Φωκίδα
510,ZI8841907,06/07/2014,Αφέντρα,Aphentra,Αραπάκη,Arapake,Βενέτιος,Θεώνη,Παπαδημητροπούλου,28/10/1979,Χαλκιδική Κομοτηνή,-,Άμφισσα 68817/1,Υ.Α. Κομοτηνή Χαλκιδική
511,X7182920,01/05/2018,Απόλλων,Apollon,Τάσιος,Tasios,Τιμολέων,Ελεονόρα,Κυρούδη,19/11/1939,Σάμος Λαμία,-,Φλώρινα 60244/9,Υ.Α. Λαμία Σάμος
512,M6983095,11/11/2011,Ευπραξία,Eupraxia,Γκαλίου,Gkaliou,Διογένης,Γιασεμή,Μαράκη,06/04/1959,Καρδίτσα Μεσολόγγι,-,Σάμος 41574/1,Υ.Α. Μεσολόγγι Καρδίτσα
513,M7721989,28/06/2016,Λέανδρος,Leandros,Δουλγεράκης,Doulgerakes,Ερωτόκριτος,Θεμιστόκλεια,Μπονέλη,08/06/1959,Λάρισσα Καστοριά,-,Ρέθυμνο 05812/5,Υ.Α. Καστοριά Λάρισσα
514,E7046045,26/01/2015,Ιουλία,Ioulia,Ματσούρη,Matsoure,Πάτροκλος,Ευλαμπία,Βυζιηνού,28/12/1987,Δράμα Αθήνα,-,Ηράκλειο 00893/5,Υ.Α. Αθήνα Δράμα
515,X9055245,10/04/2010,Αθηνόδωρος,Athenodoros,Γεννηματάς,Gennematas,Αύγουστος,Ταξιαρχία,Μωυσίδου,07/11/2009,Κοζάνη Τρίπολη,-,Καστοριά 72513/1,Υ.Α. Τρίπολη Κοζάνη
516,H6793047,18/01/2021,Βεατρίκη,Beatrike,Τσαμτσούρη,Tsamtsoure,Δήμος,Ναυσικά,Κυρκούδη,28/08/1957,Δράμα Ζάκυνθος,-,Πύργος 96099/1,Υ.Α. Ζάκυνθος Δράμα
517,IZ1146575,21/11/2012,Δημήτριος,Demetrios,Πιτερός,Piteros,Ευκλείδης,Κυδωνία,Βαρουτίδου,25/02/1995,Καβάλα Μυτιλήνη,-,Ξάνθη 25907/8,Υ.Α. Μυτιλήνη Καβάλα
518,K8015374,14/01/2016,Νικολίτσα,Nikolitsa,Χονδρούδη,Khondroude,Ευσέβιος,Περικλεία,Φραγκουδάκη,24/02/1927,Θεσπρωτία Άμφισσα,-,Τρίπολη 02744/6,Υ.Α. Άμφισσα Θεσπρωτία
519,YM2839893,30/11/2014,Εμμανουέλα,Emmanouela,Μουτζούρη,Moutzoure,Πολυχρόνιος,Παντούλα,Δανδανίδου,22/05/1992,Καρδίτσα Φλώρινα,-,Καβάλα 56981/9,Υ.Α. Φλώρινα Καρδίτσα
520,KE2040428,25/02/2019,Ασημής,Asemes,Δανέζης,Danezes,Δωρόθεος,Σουλτάνα,Δελή,11/05/1992,Κοζάνη Τρίπολη,-,Ρέθυμνο 38708/9,Υ.Α. Τρίπολη Κοζάνη
521,PI8663063,22/07/2015,Σεραφεία,Serapheia,Γκούβα,Gkouba,Ιωνάς,Ευθυμία,Καφφέ,26/04/1932,Σάμος Λιβαδιά,-,Ηγουμενίτσα 75266/2,Υ.Α. Λιβαδιά Σάμος
522,H9865401,19/04/2009,Παράσχος,Paraskhos,Κεχαγιάς,Kekhagias,Θαλής,Ανδρομέδα,Μαργαρίτη,01/10/1930,Λάρισσα Ηγουμενίτσα,-,Έδεσσα 86241/4,Υ.Α. Ηγουμενίτσα Λάρισσα
523,AO4947602,07/01/2008,Απολλωνία,Apollonia,Αθανασιάδου,Athanasiadou,Σεραφείμ,Γλαύκη,Κυργιά,08/11/1934,Θεσσαλονίκη Ρέθυμνο,-,Λιβαδιά 82363/1,Υ.Α. Ρέθυμνο Θεσσαλονίκη
524,K6485528,06/03/2018,Αρχιμήδης,Arkhimedes,Κιτινός,Kitinos,Μάρκος,Ευσεβεία,Χριστοφόρη,13/11/1992,Χαλκιδική Ναύπλιο,-,Κατερίνη 75029/1,Υ.Α. Ναύπλιο Χαλκιδική
525,K5922773,01/12/2018,Ξανθή,Ksanthe,Μανουσοπούλου,Manousopoulou,Μεγακλής,Θεοδοσία,Σμιτ,06/03/1960,Ημαθία Χίος,-,Αργοστόλι 37015/6,Υ.Α. Χίος Ημαθία
526,M0127464,20/12/2009,Ειρηναίος,Eirenaios,Κατσίφος,Katsiphos,Θέμης,Συμέλα,Ιωακειμίδου,24/09/1992,Χανιά Ξάνθη,-,Μεσολόγγι 20736/8,Υ.Α. Ξάνθη Χανιά
527,Y3795987,07/12/2016,Δροσιά,Drosia,Μπατζάνη,Mpatzane,Έκτορας,Πελαγία,Φιλιάγκου,25/07/1943,Κεφαλληνία Αγ. Νικόλαος,-,Ρόδος 60393/7,Υ.Α. Αγ. Νικόλαος Κεφαλληνία
528,EY2544950,02/10/2009,Μαρτίνος,Martinos,Καρανίκας,Karanikas,Βαρσάμος,Μαριλένα,Βερβερίδου,22/11/1928,Χίος Καρπενήσι,-,Μυτιλήνη 91655/4,Υ.Α. Καρπενήσι Χίος
529,E4967332,10/04/2011,Δάφνη,Daphne,Βερβερίδου,Berberidou,Θεοδόσης,Κλεοπάτρα,Μπακοστεργίου,12/09/1999,Σάμος Λάρισα,-,Αθήνα 84915/1,Υ.Α. Λάρισα Σάμος
530,ZB6060872,22/07/2009,Θεοδόσιος,Theodosios,Κωστάκης,Kostakes,Μένανδρος,Μαργαρίτα,Ξενάκη,01/05/1929,Καρδίτσα Πολύγυρος,-,Τρίπολη 91834/5,Υ.Α. Πολύγυρος Καρδίτσα
531,T1596948,27/09/2018,Βαλάντης,Balantes,Κουτσογιάννόπουλος,Koutsogiannopoulos,Αρχιμήδης,Κυριακή,Γαλανοπούλου,09/02/1918,Θεσσαλονίκη Κατερίνη,-,Κομοτηνή 02425/9,Υ.Α. Κατερίνη Θεσσαλονίκη
532,A5444396,15/02/2020,Τερψιχόρη,Terpsikhore,Κανελλή,Kanelle,Θεόδωρος,Ευγενία,Σολωμίδου,29/08/1941,Λασσίθι Κοζάνη,-,Ναύπλιο 53225/6,Υ.Α. Κοζάνη Λασσίθι
533,EI6071238,26/11/2010,Ιορδανία,Iordania,Κατσιμάλη,Katsimale,Λογοθέτης,Ερατώ,Κάκκα,05/02/1959,Αρκαδία Άρτα,-,Πρέβεζα 54059/3,Υ.Α. Άρτα Αρκαδία
534,NT0924684,14/12/2007,Γιώργος,Giorgos,Δραζιώτης,Draziotes,Ευγένιος,Αναστασία,Λιούκα,07/07/1930,Λευκάδα Καλαμάτα,-,Αλεξανδρούπολη 73557/8,Υ.Α. Καλαμάτα Λευκάδα
535,Z8986755,24/06/2010,Διδώ,Dido,Ιωσηφίδου,Iosephidou,Θεοφάνης,Πούλια,Μανοπούλου,19/04/1981,Φθιώτιδα Χαλκίδα,-,Μυτιλήνη 08332/8,Υ.Α. Χαλκίδα Φθιώτιδα
536,X3724722,07/07/2008,Αικατερίνη,Aikaterine,Ξενάκη,Ksenake,Διαμαντής,Φοίβη,Δημτσούδη,14/04/1948,Καστοριά Αθήνα,-,Χανιά 77536/6,Υ.Α. Αθήνα Καστοριά
537,BX9967082,20/08/2009,Ρήγας,Regas,Πετρογιάννης,Petrogiannes,Ίων,Μελίνα,Βαφειάδου,09/01/2001,Μαγνησία Ζάκυνθος,-,Λάρισα 33012/7,Υ.Α. Ζάκυνθος Μαγνησία
538,X8307227,24/06/2009,Θεοδοσία,Theodosia,Κωνσταντοπούλου,Konstantopoulou,Απόστολος,Κυράτσα,Καρολίδου,14/06/1999,Ιωάννινα Λευκάδα,-,Πάτρα 41084/7,Υ.Α. Λευκάδα Ιωάννινα
539,AH2207135,08/02/2010,Βλαδίμηρος,Bladimeros,Σιώμος,Siomos,Αργύριος,Μαριάννα,Τζιρατούδη,10/12/1974,Μεσσηνία Λιβαδιά,-,Αργοστόλι 05025/5,Υ.Α. Λιβαδιά Μεσσηνία
