,Surname,Given Name,Gender,Height,Nationality,Date of Birth,Identity No.,Document No.,Date of Expire,Parents,Tax No.,Social Security No.,Health No.
329,Amaral,Márcio,M,1.49,PRT,10 11 1916,98149497,98149497 8 ZZ7,21 03 2024,Jorge Andrade | Petra Sá,2021498,465572141757391,886253896187
330,Araújo,Margarida,F,1.83,PRT,23 01 2004,68328326,68328326 2 ZZ6,08 02 2026,Ismael Henriques | Letícia Lopes,9476481,174687369621586,560363750307
331,Paiva,Salvador,M,1.96,PRT,26 11 1913,22098724,22098724 4 ZZ4,31 01 2025,Igor Baptista | Amélia Teixeira,8424933,114398745328772,113309693117
332,Amaral,Brian,M,1.8,PRT,29 10 1994,47117101,47117101 5 ZZ1,11 06 2028,Afonso Sousa | Renata Pereira,8347890,960041359276159,63582044439
333,Amorim,Raquel,F,2,PRT,04 12 1998,89650842,89650842 1 ZZ6,31 05 2025,Sérgio Paiva | Pilar Azevedo,7387480,459341195121042,945380483252
334,Pinheiro,Henrique,M,1.8,PRT,07 03 1936,35569483,35569483 3 ZZ8,26 05 2024,Gonçalo Freitas | Anita Domingues,1065013,674299686250641,587778102078
335,Garcia,Ana,F,2,PRT,12 05 1933,95596068,95596068 0 ZZ5,08 09 2021,Nuno Oliveira | Luana Melo,1484353,585290076027654,216412482304
336,Neves,Mélanie,F,1.71,PRT,09 06 1983,59846384,59846384 6 ZZ8,25 08 2025,Edgar Macedo | Victória Campos,1158049,950537958997134,769730278017
337,Loureiro,Diogo,M,1.77,PRT,15 11 1950,33480657,33480657 1 ZZ1,08 08 2030,Carlos Pinto | Raquel Amaral,1264219,111037773444310,921957023174
338,Correia,Rita,F,1.6,PRT,05 04 1959,72001753,72001753 1 ZZ7,18 08 2023,Vasco Vieira | Marta Torres,7930915,86556181282873,650706029324
339,Nascimento,Francisco,M,1.94,PRT,25 12 1955,8166572,08166572 7 ZZ3,11 09 2021,Benjamim Reis | Núria Maia,3074577,231865254794150,43814699787
340,Azevedo,Tomás,M,1.77,PRT,13 11 1971,67747882,67747882 0 ZZ5,22 05 2022,Benjamim Nogueira | Sara Pacheco,2640396,527327313543642,255601334709
341,Cruz,Edgar,M,1.82,PRT,20 09 1976,20577078,20577078 0 ZZ7,02 03 2030,Brian Rodrigues | Vera Macedo,9116534,361550491912541,437577146315
342,Neto,Mariana,F,1.92,PRT,03 11 1960,31100457,31100457 8 ZZ8,07 02 2027,William Borges | Beatriz Branco,4473504,947182305650218,815381647895
343,Coelho,Diana,F,1.78,UGA,27 01 1931,60309505,60309505 7 ZZ5,06 11 2025,Wilson Pereira | Irina Castro,5500369,913139928798608,572776462104
344,Fonseca,Nelson,M,1.56,PRT,02 12 2008,88659053,88659053 7 ZZ7,30 07 2030,Edgar Tavares | Bárbara Lopes,1826136,74117357397485,530043513897
345,Costa,Henrique,M,1.86,PRT,30 01 1997,86969730,86969730 7 ZZ0,21 01 2023,Ivan Batista | Emília Loureiro,5606141,473712362361021,564818435489
346,Pereira,Flor,F,1.79,PRT,06 12 1988,96636144,96636144 4 ZZ2,27 03 2031,Noah Branco | Yara Esteves,1607639,782222421839390,320123282881
347,Vicente,Luísa,F,1.48,PRT,31 10 1938,22152985,22152985 5 ZZ7,08 10 2022,Wilson Santos | Raquel Antunes,106633,883363909310650,688936028715
348,Vicente,José,M,1.73,PRT,24 01 2002,38026591,38026591 6 ZZ4,14 01 2022,Tomás Antunes | Mia Leite,3482900,357364826802510,177699931325
349,Santos,Diogo,M,1.83,PRT,30 01 1940,63400111,63400111 6 ZZ6,02 10 2029,Rúben Henriques | Flor Mendes,36116,614045088631845,523841773275
350,Matos,Tiago,M,1.6,PRT,30 12 1958,30078516,30078516 8 ZZ4,23 02 2026,Luca Vicente | Débora Coelho,4008797,373965882149487,259121529472
351,Santos,Francisco,M,1.42,PRT,31 08 1940,7583611,07583611 4 ZZ0,18 02 2030,António Sousa | Débora Jesus,6166929,144434528757995,383234295540
352,Amaral,Alexandre,M,1.79,PRT,14 01 1933,20219399,20219399 1 ZZ5,15 05 2026,Tiago Branco | Camila Carneiro,4342724,928135606882367,440674170095
353,Baptista,Luca,M,1.57,PRT,19 03 1951,42450450,42450450 1 ZZ9,01 01 2028,Emanuel Almeida | Larissa Santos,7015958,340260075357412,696089445397
354,Abreu,Matilde,F,1.69,PRT,24 02 1955,89635089,89635089 5 ZZ0,07 10 2030,Bernardo Correia | Kyara Matos,2958524,471177680557991,95040129594
355,Pacheco,Denis,M,1.86,PRT,09 04 1925,38306085,38306085 3 ZZ2,14 10 2022,Henrique Lopes | Teresa Vieira,6534937,93904207095652,697423054812
356,Maia,Larissa,F,2,PRT,22 02 1996,32508634,32508634 6 ZZ3,16 10 2025,João Vaz | Isabela Barros,8207012,507958390114372,928608253314
357,Sousa,Flor,F,1.68,PRT,29 11 1963,79637631,79637631 8 ZZ0,04 02 2031,Simão Silva | Leonor Baptista,1904997,140140043365541,674479416449
358,Santos,Jorge,M,1.81,PRT,30 09 1933,66002774,66002774 4 ZZ0,21 07 2031,Paulo Morais | Ana Vaz,9108541,191674010990021,399664161468
359,Garcia,Ângelo,M,1.63,PRT,22 07 1942,68689400,68689400 8 ZZ6,27 08 2024,Igor Vicente | Daniela Vieira,7551484,390135508296172,499777114194
360,Soares,Margarida,F,1.65,PRT,23 09 1971,1943275,01943275 8 ZZ1,06 03 2028,Dinis Tavares | Miriam Pinto,6848219,818146133549846,293087522609
361,Oliveira,Filipa,F,1.67,PRT,03 09 1988,55107018,55107018 3 ZZ5,10 02 2022,Gabriel Alves | Letícia Ferreira,9418076,734505350948195,750363682436
362,Sousa,António,M,1.69,PRT,07 05 1913,98162295,98162295 8 ZZ9,05 07 2028,Jaime Assunção | Violeta Lourenço,3051977,651594654385390,536140619002
363,Brito,Beatriz,F,1.89,PRT,05 01 1917,50081409,50081409 4 ZZ3,20 07 2024,Luís Faria | Madalena Ferreira,1384077,859108402498879,549094714458
364,Brito,Wilson,M,1.56,PRT,20 01 1992,33638811,33638811 8 ZZ6,17 06 2029,Daniel Vieira | Patrícia Nunes,6009335,88825123680376,197288285017
365,Freitas,Bernardo,M,1.73,CIV,13 05 1999,88674193,88674193 9 ZZ2,23 10 2026,Cláudio Gaspar | Constança Melo,2573441,733168367497428,136782264302
366,Antunes,Erika,F,1.53,PRT,01 09 1998,77486068,77486068 3 ZZ8,31 01 2028,Benjamim Silva | Vitória Carvalho,5146155,453054667477399,116851251035
367,Soares,Isabel,F,1.79,PRT,01 10 1928,88715205,88715205 2 ZZ5,07 11 2028,Rui Faria | Eduarda Antunes,1943638,162667904069682,792582028189
368,Gaspar,Rúben,M,1.58,PRT,03 11 1996,43602342,43602342 3 ZZ5,07 08 2026,Vítor Brito | Beatriz Matos,4715929,545120251435975,60051419911
369,Guerreiro,Núria,F,1.7,PRT,07 04 1949,98146173,98146173 4 ZZ2,04 09 2029,Ivo Vaz | Filipa Araújo,6757676,114170046905696,258290593508
370,Ribeiro,Enzo,M,1.81,PRT,04 12 1934,6721629,06721629 3 ZZ3,28 12 2024,André Castro | Letícia Pinheiro,4625929,990989593943517,680862455434
371,Faria,Gabriel,M,1.7,PRT,23 04 1964,99261765,99261765 9 ZZ8,05 03 2029,Leonardo Miranda | Luciana Alves,8044180,968569954762914,788551525772
372,Borges,Luana,F,1.72,PRT,28 09 1918,71808318,71808318 1 ZZ1,04 02 2027,Enzo Nascimento | Francisca Soares,9630995,919009788218995,154365377108
373,Vieira,Larissa,F,1.76,PRT,26 08 1946,81792844,81792844 1 ZZ8,04 12 2027,Manuel Oliveira | Benedita Castro,3122559,778906007396783,75397783974
374,Branco,Jorge,M,1.52,PRT,11 01 1995,53457873,53457873 3 ZZ1,12 02 2029,Vasco Rodrigues | Carlota Moura,9195602,600277969905035,141270695077
375,Alves,Guilherme,M,2.03,PRT,27 01 1962,50517130,50517130 4 ZZ0,06 10 2027,Lucas Rodrigues | Emília Matos,7347245,654061446489786,980972005850
376,Garcia,Paulo,M,1.65,PRT,10 04 1922,89474613,89474613 8 ZZ2,16 06 2023,Gustavo Vieira | Valentina Martins,6260318,779519254809629,923003543470
377,Pinho,Laura,F,1.71,PRT,29 09 1964,22575453,22575453 3 ZZ2,17 07 2027,Noa Santos | Erika Pires,6987189,754821562542571,427645632
378,Vicente,Amélia,F,2,PRT,12 11 1983,59892602,59892602 8 ZZ9,30 08 2023,Guilherme Amaral | Emma Machado,1615529,348578029016680,271416431609
379,Martins,Fábio,M,1.83,PRT,04 01 1958,87563986,87563986 2 ZZ0,23 07 2023,Filipe Amorim | Gabriela Henriques,4305378,558271615825688,523457944060
380,Matos,Erika,F,1.69,PRT,26 08 1922,67822187,67822187 7 ZZ1,09 09 2023,Enzo Pinto | Adriana Campos,6649223,147742940905326,134001353464
381,Valente,Irina,F,1.55,PRT,07 03 1935,10114487,10114487 3 ZZ7,09 09 2026,Noah Barros | Leonor Pereira,5085434,354559196825486,638432886705
382,Esteves,William,M,1.95,PRT,18 08 1996,5192339,05192339 3 ZZ4,26 03 2023,Gustavo Matos | Bruna Andrade,9180584,399226634951068,316732083294
383,Neves,Luís,M,1.87,PRT,20 07 1924,7793473,07793473 0 ZZ6,05 03 2029,Joaquim Alves | Tatiana Domingues,701594,950978355625293,185237605333
384,Lopes,André,M,1.58,PRT,31 05 1963,67647794,67647794 5 ZZ5,21 10 2024,Salvador Esteves | Íris Moura,5021685,355163632698679,446455921280
385,Guerreiro,Mafalda,F,1.76,PRT,16 02 1965,8749313,08749313 3 ZZ2,10 12 2027,Martim Morais | Bárbara Fonseca,8192475,507051024346713,741154742596
386,Sá,Helena,F,1.74,PRT,31 12 1999,4189389,04189389 6 ZZ6,08 01 2023,Diogo Mota | Lia Rocha,3783538,838789668899673,994944019179
387,Lima,Afonso,M,1.54,PRT,10 10 2006,86400592,86400592 1 ZZ7,29 08 2023,Filipe Miranda | Leonor Castro,4195726,277046143448681,39776713806
388,Pacheco,Emanuel,M,1.62,PRT,02 04 2003,12102130,12102130 3 ZZ8,25 11 2025,Nelson Garcia | Lúcia Neves,5295068,401946717966140,261755781246
389,Borges,Afonso,M,1.62,PRT,02 07 1972,53744033,53744033 2 ZZ1,09 01 2022,Wilson Pereira | Vitória Carneiro,670394,938213240212460,975355377716
390,Lopes,Iara,F,1.42,PRT,25 01 1920,29941630,29941630 1 ZZ7,12 10 2026,Gil Neves | Íris Sousa,1525970,207022608700461,335053063287
391,Lima,Santiago,M,1.86,PRT,01 10 1919,26848556,26848556 9 ZZ6,23 09 2029,Joaquim Miranda | Camila Coelho,304194,318850022253095,503912655338
392,Ribeiro,Sebastião,M,1.8,PRT,31 07 1980,89040042,89040042 7 ZZ0,08 08 2030,Guilherme Carvalho | Emília Barbosa,4600870,575188692112578,69821457641
393,Sousa,Rúben,M,1.77,PRT,13 03 1981,35403248,35403248 1 ZZ8,09 10 2027,Rúben Freitas | Valentina Cardoso,6802816,224233717045254,483571524151
394,Melo,Rafael,M,1.9,TUV,03 02 1964,13155836,13155836 2 ZZ4,07 08 2030,Guilherme Batista | Alice Santos,6588375,1560018524757,939038896099
395,Valente,Francisca,F,1.78,PRT,15 02 1956,99394724,99394724 4 ZZ3,24 06 2030,Benjamim Torres | Pilar Gaspar,8778607,360905404087677,486770845608
396,Rodrigues,Carlos,M,1.58,USA,03 08 1919,55842485,55842485 0 ZZ9,19 12 2021,Xavier Paiva | Marta Rocha,6084662,873212028541382,235687357053
397,Oliveira,Melissa,F,1.61,PRT,09 04 1966,98341256,98341256 6 ZZ0,04 06 2029,João Mota | Soraia Barros,7136133,377346655091797,510709726418
398,Cardoso,Andreia,F,1.93,PRT,26 06 1961,77034080,77034080 9 ZZ0,05 08 2022,Sebastião Gonçalves | Erica Baptista,6297551,190719972020315,730644463534
399,Freitas,Maria,F,1.84,PRT,28 05 1937,5101664,05101664 6 ZZ6,05 07 2022,Vasco Cardoso | Matilde Brito,9734796,141516122838338,866801827869
400,Faria,Rafael,M,1.77,BWA,14 11 1959,43751958,43751958 2 ZZ8,15 04 2029,Denis Vieira | Nair Reis,8531208,592441001648568,204719151707
401,Marques,Eduardo,M,1.75,PRT,14 03 2000,69960100,69960100 8 ZZ6,16 10 2025,Brian Maia | Melissa Matos,5222742,35121245859549,755510699313
402,Carvalho,Amélia,F,1.55,PRT,21 05 1967,26206579,26206579 7 ZZ2,09 10 2028,António Lopes | Érica Valente,5209137,476721320256617,597538693709
403,Vaz,Lara,F,1.62,PRT,04 05 1982,7931055,07931055 5 ZZ6,14 01 2023,Simão Nunes | Teresa Domingues,3905679,456159298035522,999923568209
404,Vaz,Kevin,M,1.64,PRT,09 08 1984,49082949,49082949 0 ZZ9,13 11 2021,Gil Moura | Salomé Lima,1242930,411812581633503,235389254520
405,Batista,Mauro,M,1.84,PRT,09 10 1973,58036504,58036504 1 ZZ1,04 02 2026,Eduardo Teixeira | Ema Tavares,8109725,49396466438074,784087130260
406,Paiva,Kelly,F,1.84,PRT,14 11 1979,45683857,45683857 8 ZZ2,08 04 2031,Edgar Gaspar | Gabriela Pacheco,393445,491117377857177,421164300606
407,Anjos,Matias,M,1.67,PRT,14 10 1982,45073904,45073904 7 ZZ6,10 06 2026,Isaac Vaz | Jéssica Vaz,97398,647081677583417,63119822201
408,Cruz,Enzo,M,1.75,PRT,20 10 1997,44539421,44539421 3 ZZ2,27 01 2022,André Barbosa | Eva Rodrigues,3685590,924374343791707,449898870534
409,Moura,Madalena,F,1.56,PRT,24 07 1923,9379898,09379898 7 ZZ4,03 12 2022,Francisco Lopes | Adriana Teixeira,4862771,935618632621170,133219306450
410,Gonçalves,Enzo,M,1.72,PRT,10 10 1943,37596637,37596637 4 ZZ6,10 06 2023,Gonçalo Rocha | Marta Melo,525131,509541277376714,681728707644
411,Carneiro,Dinis,M,2.03,PRT,04 07 1965,58094668,58094668 4 ZZ5,21 10 2028,Sebastião Nunes | Inês Ribeiro,3878600,333543688300113,20784976201
412,Carneiro,Alice,F,1.61,PRT,31 10 1972,29074437,29074437 9 ZZ3,06 02 2028,Gonçalo Macedo | Benedita Pacheco,8399540,961231159302802,508699676526
413,Gonçalves,Lara,F,1.81,PRT,14 05 1923,42796741,42796741 3 ZZ1,16 02 2031,Bryan Teixeira | Clara Moura,1402489,238394030238366,799352493656
414,Cruz,Anita,F,1.6,PRT,15 01 1938,64835343,64835343 0 ZZ6,13 09 2027,Salvador Vieira | Yasmin Araújo,3122330,344827117847083,728993523155
415,Baptista,Emanuel,M,1.74,PRT,11 12 1998,26791121,26791121 7 ZZ4,24 07 2031,Sebastião Gaspar | Anita Santos,6732322,898704255504952,347561109888
416,Ramos,Letícia,F,1.67,PRT,01 12 1910,87309806,87309806 0 ZZ3,17 07 2031,Rúben Cunha | Ema Freitas,2258473,461356277041037,527490021649
417,Nascimento,Helena,F,1.79,TUR,30 01 1920,49938501,49938501 3 ZZ8,22 05 2025,Pedro Coelho | Luciana Neves,265033,263722185240272,77101679291
418,Freitas,Letícia,F,1.93,PRT,21 09 2002,45441506,45441506 0 ZZ2,26 05 2023,Hugo Azevedo | Mariana Macedo,8770727,229030392519272,62375712620
419,Rocha,Artur,M,1.42,PRT,10 06 2008,59243146,59243146 0 ZZ5,01 11 2023,Eduardo Azevedo | Yasmin Ribeiro,1935110,493148703714484,833950418308
420,Moura,Mafalda,F,1.79,PRT,30 01 1925,42181335,42181335 5 ZZ8,23 11 2024,André Neto | Victória Nogueira,1995574,999973234163549,696583454853
421,Cruz,Ana,F,1.63,PRT,10 07 1969,1018557,01018557 1 ZZ8,15 02 2024,Wilson Abreu | Erica Campos,6337975,410603673953635,780475497661
422,Miranda,Violeta,F,1.98,PRT,11 01 1970,37116661,37116661 1 ZZ8,24 03 2027,Xavier Santos | Benedita Carvalho,7856607,854353503057890,191254479665
423,Moreira,Alexandre,M,1.84,PRT,17 07 2003,50203551,50203551 8 ZZ4,16 08 2025,José Matias | Mara Ribeiro,7137688,822420558366435,340718468653
424,Simões,Leonardo,M,1.68,PRT,22 02 1923,71104373,71104373 8 ZZ9,17 01 2028,João Moreira | Laura Martins,3690150,536322899690430,643131111977
425,Mendes,David,M,1.67,PRT,30 08 1955,25513985,25513985 4 ZZ3,10 02 2027,Fábio Lima | Isabel Nogueira,3367901,84146709872205,715119457795
426,Garcia,Gaspar,M,1.77,PRT,05 07 1934,79429070,79429070 3 ZZ1,26 08 2027,César Melo | Larissa Campos,3264655,632704138263716,579837795413
427,Rocha,Alice,F,1.71,PRT,28 08 1944,82484199,82484199 0 ZZ4,08 12 2023,Kevin Faria | Yara Monteiro,8504406,96440666867467,963968004289
428,Barbosa,Jaime,M,1.81,PRT,30 08 1971,56779638,56779638 8 ZZ8,03 10 2030,José Andrade | Ângela Domingues,5544563,249908666537113,742353929458
429,Fonseca,Daniel,M,1.81,PRT,29 07 1930,15968953,15968953 1 ZZ7,29 08 2028,Santiago Almeida | Carlota Correia,4567158,7064808747157,961659523457
430,Cruz,Lara,F,1.71,PRT,29 07 1934,71309119,71309119 0 ZZ8,28 03 2025,André Pires | Camila Cardoso,4015857,191166118666435,734197041955
431,Assunção,Ana,F,1.76,PRT,04 05 1913,38734322,38734322 1 ZZ3,10 09 2021,Emanuel Matos | Renata Gonçalves,1957030,330105334181758,659538196869
432,Costa,Martim,M,1.7,PRT,03 10 1944,70916582,70916582 2 ZZ6,31 01 2025,Daniel Moura | Lara Sá,7099932,776971623857170,147822595613
433,Vieira,Constança,F,1.77,PRT,20 04 2006,94637685,94637685 5 ZZ9,15 05 2031,Manuel Vicente | Soraia Brito,6678046,257357620187186,397652845836
434,Matias,Fabiana,F,1.76,NLD,25 08 1953,65779631,65779631 2 ZZ5,22 01 2028,Lourenço Sá | Violeta Maia,2249477,138372408637618,722089094921
435,Amaral,Filipa,F,1.77,PRT,01 06 1975,52259386,52259386 3 ZZ7,13 09 2023,Rodrigo Macedo | Eva Pacheco,5814996,551797399865370,347762363886
436,Batista,Luana,F,1.8,PRT,14 06 1978,3441144,03441144 4 ZZ9,01 02 2031,Valentim Esteves | Benedita Gomes,4641998,433825457641325,768993000876
437,Araújo,Ema,F,1.59,PRT,15 05 1961,86886402,86886402 8 ZZ9,25 09 2027,Salvador Reis | Leonor Garcia,8050928,914917148501209,457606482408
438,Gonçalves,Patrícia,F,1.81,PRT,14 03 1920,7812051,07812051 4 ZZ9,02 12 2025,Luca Marques | Emma Correia,1299940,253594945812753,640599264188
439,Faria,Mauro,M,1.8,PRT,08 10 2008,92727541,92727541 1 ZZ4,10 04 2024,Paulo Simões | Erika Sousa,5817828,479215469862242,4871027500
440,Mota,Bárbara,F,1.33,PRT,17 12 1939,50502533,50502533 4 ZZ1,24 03 2030,Gil Cardoso | Íris Pacheco,1374340,937676040667655,684260128781
441,Correia,Bernardo,M,1.76,PRT,07 04 1952,39200975,39200975 4 ZZ0,24 10 2027,Gaspar Cruz | Carminho Borges,927307,139671037464590,136655548251
442,Gonçalves,Gil,M,1.84,PRT,04 10 1931,52292687,52292687 8 ZZ1,24 11 2025,Lisandro Valente | Andreia Andrade,9902187,56890666002182,820599525981
443,Gonçalves,Beatriz,F,2.01,PRT,08 10 1953,64165143,64165143 2 ZZ8,06 03 2028,Ivo Lourenço | Mariana Barbosa,7790701,632156269545524,666828521371
444,Nunes,Jéssica,F,1.44,PRT,24 09 1971,7996044,07996044 9 ZZ2,24 12 2022,Henrique Gaspar | Kyara Teixeira,8461847,82670934521102,196461756997
445,Fernandes,Camila,F,1.45,PRT,01 04 1950,92696674,92696674 8 ZZ5,23 08 2025,Noah Baptista | Patrícia Melo,4899377,178756084617706,261118224704
446,Lima,Soraia,F,1.72,PRT,26 05 1931,96324181,96324181 3 ZZ0,07 01 2024,Joaquim Pinho | Matilde Nunes,7553815,363188330744871,677703104667
447,Paiva,Maria,F,1.92,PRT,03 03 1931,93651402,93651402 2 ZZ2,05 06 2031,Luca Neto | Carlota Amaral,3551149,621181270096303,725630904599
448,Gomes,Igor,M,1.96,CMR,25 10 1945,2196879,02196879 9 ZZ5,31 03 2031,Daniel Lima | Naiara Lourenço,220826,104393062474004,852581980174
449,Sousa,Isabel,F,1.64,PRT,20 11 1932,62789594,62789594 6 ZZ6,24 11 2029,Fábio Anjos | Carminho Domingues,8137012,545704672371039,50805532855
450,Esteves,Francisco,M,1.86,PRT,06 08 1913,41702611,41702611 9 ZZ5,26 05 2030,Denis Henriques | Alice Cruz,9548287,760371281889820,852418019981
451,Santos,Nuno,M,1.77,PRT,26 01 1990,5011680,05011680 0 ZZ8,12 05 2026,Filipe Baptista | Ariana Castro,3999054,443340396407857,384872419584
452,Magalhães,Bárbara,F,1.67,PRT,22 05 1987,16671185,16671185 9 ZZ6,15 03 2028,Tiago Gomes | Amélia Baptista,6422267,300359582717234,293733093728
453,Ferreira,Benjamim,M,1.63,PRT,24 01 1972,19351405,19351405 3 ZZ8,11 10 2027,José Mota | Eva Ramos,2937634,217053145289506,382946402014
454,Almeida,Ângelo,M,1.68,PRT,06 12 1966,20350600,20350600 1 ZZ0,19 09 2030,Fernando Rocha | Anita Gaspar,2646585,909921618454837,618839476063
455,Alves,Benjamim,M,1.64,PRT,28 10 2008,51675450,51675450 4 ZZ0,06 09 2028,Vicente Costa | Gabriela Borges,9564549,746362164504165,812864661616
456,Melo,Alícia,F,1.68,PRT,07 07 1940,55199574,55199574 4 ZZ4,30 05 2031,Noah Correia | Anita Paiva,303020,187780119940117,378405699735
457,Cruz,Lia,F,1.74,PRT,25 03 1940,43706076,43706076 8 ZZ2,08 04 2026,Bernardo Santos | Íris Anjos,7654385,622197870056673,396092646741
458,Barros,Íris,F,2.09,PRT,28 06 1923,9443585,09443585 6 ZZ5,15 02 2024,Leonardo Leite | Vera Neto,371005,32602730986405,192015388090
459,Lopes,Bianca,F,1.65,PRT,05 09 1981,87156420,87156420 6 ZZ9,10 03 2027,Bernardo Tavares | Helena Pinho,2477680,528911540127876,17185330723
460,Amaral,Fábio,M,1.79,PRT,22 07 1990,99707366,99707366 5 ZZ6,10 10 2026,Hugo Maia | Madalena Pereira,1298797,436005291007696,826391394820
461,Pinto,Manuel,M,1.59,PRT,01 10 1914,34676308,34676308 2 ZZ7,05 04 2024,Lourenço Vaz | Clara Gonçalves,3591707,442022460715200,770604511048
462,Ribeiro,Gabriel,M,1.64,PRT,28 11 1942,16550254,16550254 6 ZZ9,12 09 2024,Ângelo Gaspar | Isabela Faria,9430298,308217238559536,65849134777
463,Carvalho,Renato,M,1.49,PRT,16 08 1985,32351273,32351273 5 ZZ1,12 12 2030,Samuel Almeida | Eduarda Nascimento,4080119,814615817862538,218643520507
464,Gonçalves,Leonardo,M,1.85,PRT,08 11 1923,41498657,41498657 4 ZZ9,11 08 2025,Leonardo Costa | Alícia Ramos,6267250,661249363168721,696369036926
465,Pinheiro,Vasco,M,1.72,PRT,12 03 1967,85148013,85148013 1 ZZ3,13 08 2022,Gustavo Macedo | Irina Coelho,8624974,100074926064373,534371192087
466,Miranda,Ivan,M,1.46,PRT,15 06 1984,50257126,50257126 8 ZZ6,09 01 2030,Marcos Paiva | Kyara Moura,6545616,888582224302432,675654011317
467,Costa,Erika,F,1.91,PRT,09 12 1914,53774894,53774894 3 ZZ0,04 01 2025,Kevin Leal | Bianca Santos,9344174,628842862471343,769225475021
468,Castro,Leonardo,M,1.85,PRT,01 09 1921,43294609,43294609 2 ZZ1,17 11 2027,Nelson Lourenço | Tatiana Sá,4268764,558118272151108,692361417942
469,Ferreira,Marta,F,1.62,PRT,08 06 1927,86231219,86231219 8 ZZ1,08 11 2023,António Pires | Mara Lima,7642397,418321164888924,147097601239
470,Rocha,Fernando,M,1.72,PRT,09 04 1948,51197546,51197546 7 ZZ5,24 12 2024,Kevin Assunção | Lúcia Silva,5794264,323430682621636,869431284211
471,Mendes,Margarida,F,1.59,PRT,06 09 1957,40769658,40769658 4 ZZ3,26 03 2023,Hugo Abreu | Íris Matias,397944,994814819793310,643272451011
472,Castro,Madalena,F,1.46,PRT,30 06 1918,19227173,19227173 5 ZZ9,10 01 2028,Filipe Moura | Catarina Sá,7858374,213797229279549,741725824032
473,Simões,Marco,M,1.78,PRT,24 12 1988,34875376,34875376 3 ZZ7,15 10 2030,Daniel Marques | Mélanie Marques,2451156,511697556798028,117065713365
474,Antunes,Isaac,M,1.61,PRT,06 10 1924,64387197,64387197 6 ZZ4,21 02 2026,Xavier Gonçalves | Erika Magalhães,5506179,596198589672760,69972429755
475,Ramos,Noa,M,1.86,PRT,16 05 1958,8420145,08420145 8 ZZ8,28 04 2029,André Ferreira | Lara Mendes,6336696,323099206374869,573577750794
476,Reis,Amélia,F,1.62,PRT,13 02 1926,33319260,33319260 0 ZZ6,28 02 2026,Paulo Cardoso | Naiara Moura,142571,981036712825984,811814441352
477,Pinto,Dinis,M,1.92,PRT,04 07 2007,84228906,84228906 1 ZZ8,03 11 2030,Ismael Morais | Diana Baptista,10608,435401287636233,231074548959
478,Amorim,Luana,F,1.9,PRT,27 07 1946,40914124,40914124 3 ZZ9,30 05 2028,Rafael Gomes | Petra Morais,5971961,932150318186510,205361985795
479,Loureiro,Júlia,F,1.96,PRT,03 11 1968,43788768,43788768 1 ZZ2,20 06 2029,Vicente Andrade | Lúcia Coelho,1062410,598333914535204,230370850767
480,Maia,Patrícia,F,1.68,PRT,04 05 1977,89352717,89352717 3 ZZ4,19 12 2022,Jaime Sá | Gabriela Soares,1409683,767322249085258,150369647483
481,Araújo,António,M,1.79,PRT,06 02 1964,32353146,32353146 0 ZZ0,25 10 2023,Ivo Oliveira | Jéssica Lourenço,8844287,934816752344100,61262905040
482,Costa,Henrique,M,1.97,PRT,04 03 1984,88424933,88424933 4 ZZ4,04 08 2022,Lourenço Vaz | Luna Loureiro,7474852,345172736369010,62320330063
483,Melo,Martim,M,1.61,PRT,01 07 1994,29758880,29758880 7 ZZ9,21 11 2029,Lucas Jesus | Carolina Silva,4881970,11517797078003,44580062673
484,Araújo,Luís,M,1.7,TUV,18 05 1984,86617199,86617199 2 ZZ1,11 12 2025,Matias Ribeiro | Isabel Moreira,6834281,877072644759778,445588422528
485,Valente,Melissa,F,1.71,PRT,07 06 1956,16793279,16793279 7 ZZ0,25 04 2026,Guilherme Nascimento | Erica Soares,6509406,221931746291581,760104335989
486,Torres,Wilson,M,1.78,PRT,10 05 1937,24523588,24523588 4 ZZ7,25 08 2024,Salvador Loureiro | Marta Nogueira,2374898,20169922090678,837184084577
487,Sá,Fabiana,F,1.61,PRT,21 05 1915,52904345,52904345 0 ZZ0,06 04 2024,Diego Leite | Alexandra Pacheco,3048636,210874053316487,753862557382
488,Garcia,Eduardo,M,2.13,PRT,09 01 1966,21463378,21463378 2 ZZ1,07 04 2028,Diogo Guerreiro | Filipa Moreira,857311,634222629407279,105863738544
489,Martins,Vitória,F,1.59,ZMB,16 09 1958,28551737,28551737 5 ZZ5,19 07 2022,Cristiano Loureiro | Irina Moreira,7957301,696182608075521,88243891240
490,Carneiro,Marta,F,1.72,PRT,24 12 1935,39277785,39277785 5 ZZ8,16 05 2026,Álvaro Reis | Madalena Teixeira,4638538,613810041828060,311044500939
491,Martins,Luna,F,1.69,PRT,15 08 1988,88383842,88383842 8 ZZ8,21 04 2027,Marcos Antunes | Rita Maia,2231152,92011906776525,345126542104
492,Carvalho,Salvador,M,1.67,PRT,24 09 1993,55042135,55042135 9 ZZ6,07 08 2023,Leonardo Monteiro | Larissa Antunes,4351506,275778000257888,458846082986
493,Neves,Micael,M,1.94,FJI,18 04 2005,78000613,78000613 2 ZZ3,31 07 2028,Márcio Borges | Isabela Oliveira,6540216,444484745218957,356114073060
